Year,Executive oversight,Executive oversight CI (Low),Executive oversight CI (High),Legislative constraints on the executive index,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),Legislative electoral regime index,Legislative electoral regime index CI (Low),Legislative electoral regime index CI (High),Legislature controls resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),Legislature investigates in practice,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),Legislature opposition parties,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),Legislature questions officials in practice,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
2000,2.584,2.195,2.936,0.748,0.605,0.862,1,null,null,0.882,0.825,0.999,1.724,1.48,1.948,2.241,1.971,2.684,1.41,1.199,1.65,0.93,0.872,1
2001,2.584,2.195,2.936,0.748,0.605,0.862,1,null,null,0.882,0.825,0.999,1.724,1.48,1.948,2.241,1.971,2.684,1.41,1.199,1.65,0.93,0.872,1
2002,2.808,2.44,3.193,0.786,0.675,0.871,1,null,null,0.882,0.825,0.999,1.512,1.3,1.74,2.389,2.109,2.784,1.41,1.199,1.65,0.93,0.872,1
2003,2.808,2.44,3.193,0.786,0.675,0.871,1,null,null,0.882,0.825,0.999,1.512,1.3,1.74,2.389,2.109,2.784,1.41,1.199,1.65,0.93,0.872,1
2004,2.753,2.413,3.043,0.764,0.65,0.835,1,null,null,0.882,0.825,0.999,1.512,1.3,1.74,2.303,2.043,2.559,1.459,1.282,1.649,0.93,0.872,1
2005,2.753,2.413,3.043,0.764,0.65,0.835,1,null,null,0.882,0.825,0.999,1.512,1.3,1.74,2.303,2.043,2.559,1.459,1.282,1.649,0.93,0.872,1
2006,2.726,2.449,3.069,0.814,0.689,0.918,1,null,null,0.885,0.833,1,1.523,1.255,1.701,2.302,2.047,2.563,1.459,1.282,1.649,0.935,0.882,1
2007,2.737,2.42,3.034,0.788,0.669,0.878,1,null,null,0.885,0.833,0.999,1.523,1.255,1.701,2.302,2.047,2.563,1.459,1.282,1.649,0.935,0.882,1
2008,2.766,2.464,3.058,0.763,0.637,0.853,1,null,null,0.884,0.828,1,1.513,1.285,1.729,2.302,2.047,2.563,1.275,1.093,1.442,0.936,0.882,1
2009,2.741,2.415,3.015,0.771,0.651,0.876,1,null,null,0.878,0.819,0.998,1.503,1.303,1.744,2.302,2.047,2.563,1.275,1.093,1.442,0.933,0.881,1
2010,3.186,2.901,3.464,0.806,0.691,0.895,1,null,null,0.884,0.83,0.999,1.508,1.285,1.736,2.307,2.033,2.542,1.276,1.093,1.442,0.926,0.877,1
2011,3.186,2.901,3.464,0.81,0.715,0.891,1,null,null,0.884,0.83,0.999,1.526,1.298,1.742,2.33,2.101,2.59,1.276,1.093,1.442,0.934,0.876,1
2012,3.186,2.901,3.464,0.796,0.638,0.885,1,null,null,0.886,0.825,0.996,1.511,1.28,1.697,2.33,2.101,2.59,1.314,1.138,1.47,0.941,0.896,1
2013,2.387,2.065,2.738,0.671,0.534,0.793,1,null,null,0.876,0.821,1,1.567,1.327,1.816,2.115,1.845,2.396,1.152,0.984,1.308,0.915,0.855,1
2014,2.387,2.065,2.738,0.683,0.533,0.794,1,null,null,0.88,0.819,0.998,1.558,1.332,1.813,2.115,1.845,2.396,1.152,0.984,1.308,0.919,0.855,1
2015,2.307,1.933,2.638,0.692,0.542,0.795,1,null,null,0.885,0.827,0.998,1.429,1.159,1.66,2.191,1.957,2.514,1.153,0.966,1.292,0.912,0.858,1
2016,1.917,1.594,2.272,0.679,0.566,0.786,1,null,null,0.884,0.826,1,1.349,1.122,1.627,2.267,1.971,2.543,1.077,0.878,1.202,0.924,0.863,1
2017,1.679,1.348,2.039,0.617,0.456,0.729,1,null,null,0.883,0.831,1,1.156,0.898,1.38,2.129,1.827,2.391,1.162,0.981,1.315,0.914,0.852,1
2018,1.49,1.098,1.809,0.628,0.466,0.758,1,null,null,0.89,0.837,1,1.011,0.764,1.251,2.05,1.752,2.312,1.235,1.06,1.406,0.92,0.854,1
